Incident;PERIL;SUBURB;ITEM_TYPE;VEHICLE_MAKE;VEHICLE_MODEL;VEHICLE_YEAR;INCIDENT_DATE_TIME;CLAIM_AMOUNT;ITEM_CATEGORY;ITEM_PERIL_DESCR;FLAG_INCOMPLETE_VEHICLE_DETAILS;FLAG_NEGATIVE_CLAIM;FLAG_ZERO_CLAIM
INC-001;Theft;LYTTELTON MANOR;Contents;;;;2026-06-28 14:39:00;1725;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-002;Theft;BOKSBURG;Vehicle;PORSCHE;CAYENNE TURBO COUPE-2019-;2020;2026-06-27 12:07:00;391572,28;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-003;Theft;VANDERBIJLPARK S. E. 8;Vehicle;HONDA;AMAZE 1.2 TREND-2018-;2022;2026-06-27 10:00:00;1750;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-004;Theft;VEREENIGING;Contents;;;;2026-06-24 12:28:00;66129,74;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-005;Theft;EAST LONDON CBD;Vehicle;VOLKSWAGEN;T-CROSS 1.0 TSI COMFORTLINE DSG-2019-;2022;2026-06-24 9:18:00;2584,63;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-006;Theft;MEYERTON PARK (FARMS);Vehicle;TOYOTA;STARLET CROSS 1.5XR A/T-2024-;2025;2026-06-23 6:59:00;53957,24;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-007;Theft;BEYERS PARK;Contents;;;;2026-06-23 3:20:00;5000;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-008;Theft;BELLAIR;Vehicle;HYUNDAI;TUCSON 2.0 PREMIUM-2016-2023;2017;2026-06-23 2:40:00;5593,42;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-009;Theft;WOODSTOCK;Contents;;;;2026-06-22 21:17:00;10000;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-010;Theft;NEWTON PARK;Vehicle;KIA;PEGAS 1.4 LX-2021-;2021;2026-06-22 17:22:00;8778,9;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
